Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
112,0,0.003223,0.006690,0.003330,-54.967319,96.343117,15.544497,0.002013,0.001747,0.002745,-0.699935,-0.738846,1.346487,0.010821,-1.320592,-0.030268,8.290770,100.170006,78.114342
113,0,0.003294,0.006714,0.003436,-54.967686,96.338280,15.529033,0.002277,0.001604,0.002748,-0.698871,-0.738853,1.340783,0.007520,-1.319421,-0.032422,8.127781,100.180138,78.217957
114,0,0.003385,0.006737,0.003499,-54.972336,96.340744,15.524529,0.002097,0.001703,0.002741,-0.701017,-0.736420,1.331419,0.010762,-1.320452,-0.030252,8.280382,100.168610,78.102959
115,0,0.003218,0.006734,0.003435,-54.970253,96.335464,15.519768,0.002232,0.001670,0.002775,-0.703489,-0.744836,1.342234,0.010729,-1.320429,-0.030369,8.277449,100.169106,78.101372
116,0,0.003227,0.006790,0.003455,-54.971977,96.331711,15.524479,0.002128,0.001631,0.002753,-0.700113,-0.742766,1.326982,0.007636,-1.319377,-0.032360,8.118908,100.179031,78.218185
117,0,0.003166,0.006807,0.003441,-54.970676,96.334534,15.541080,0.002171,0.001611,0.002745,-0.701706,-0.742389,1.337605,0.007538,-1.319284,-0.032444,8.119596,100.178574,78.231026
118,0,0.003264,0.006780,0.003514,-54.970070,96.337578,15.546475,0.002155,0.001642,0.002751,-0.701899,-0.744944,1.348304,0.007453,-1.319366,-0.032466,8.125851,100.176598,78.239090
119,0,0.003244,0.006823,0.003411,-54.968903,96.338814,15.550451,0.002196,0.001595,0.002744,-0.700103,-0.742764,1.346869,0.007548,-1.319470,-0.032422,8.127629,100.178711,78.234474
120,0,0.003222,0.006764,0.003346,-54.972233,96.339951,15.548777,0.002795,0.002004,0.001727,-0.544843,-0.523743,1.521125,0.007466,-1.319388,-0.032493,8.125032,100.183304,78.237930
121,0,0.003276,0.006908,0.003308,-54.975704,96.342918,15.547058,0.002019,0.001714,0.002744,-0.708808,-0.736950,1.346629,0.009952,-1.319336,-0.031129,8.028448,100.188980,78.295189
122,0,0.003342,0.006785,0.003401,-54.973003,96.341614,15.548697,0.001844,0.001735,0.001244,-0.520623,-0.388016,1.324813,0.010511,-1.320685,-0.030409,8.288852,100.171234,78.116776
123,0,0.003280,0.006836,0.003445,-54.974457,96.341721,15.555958,0.002076,0.001706,0.002744,-0.706782,-0.739663,1.355828,0.009927,-1.319418,-0.031204,8.036800,100.188545,78.297417
124,0,0.003175,0.006779,0.003435,-54.969547,96.338547,15.559035,0.001958,0.001734,0.002772,-0.704050,-0.745307,1.353154,0.010814,-1.320669,-0.030221,8.293595,100.169090,78.131393
125,0,0.003349,0.006791,0.003360,-54.964397,96.335823,15.562364,0.002047,0.001701,0.002728,-0.698499,-0.737650,1.355155,0.007352,-1.319465,-0.032446,8.134982,100.175148,78.249077
126,0,0.003265,0.006733,0.003451,-54.967037,96.331581,15.548975,0.002112,0.001657,0.002783,-0.704387,-0.751424,1.347891,0.007573,-1.319423,-0.032451,8.126682,100.175705,78.237320
127,0,0.003394,0.006829,0.003444,-54.963627,96.332687,15.534082,0.002209,0.001626,0.002750,-0.700101,-0.744237,1.343476,0.013216,-1.320236,-0.028961,8.165062,100.177261,78.195381
128,0,0.003340,0.006916,0.003402,-54.967937,96.334747,15.523556,0.002218,0.001636,0.002741,-0.700219,-0.739984,1.335863,0.007516,-1.319217,-0.032441,8.118431,100.176880,78.219139
129,0,0.003320,0.006728,0.003414,-54.965363,96.334183,15.521688,0.002169,0.001650,0.002742,-0.699031,-0.741096,1.327267,0.007423,-1.319251,-0.032417,8.114770,100.177223,78.218338
